"Full.F","Exp.Spawn","SPR","Freport_7-10"
0,1.70601178623606,1,0
0.01,1.64793106617748,0.951635557532485,0.01
0.02,1.59343372148895,0.906766264501282,0.02
0.03,1.54219633405938,0.865055599116798,0.03
0.04,1.4939334468771,0.826207496809092,0.04
0.05,1.44839214426348,0.789960527319901,0.05
0.06,1.4053475352808,0.756083044550391,0.06
0.07,1.36459896944806,0.724369125006854,0.07
0.08,1.32596684986988,0.694635149463433,0.08
0.09,1.28928993655466,0.666716912288934,0.09
0.1,1.25442305414237,0.6404671660011,0.1
0.11,1.2212351349999,0.615753526653417,0.11
0.12,1.18960754179271,0.592456679834841,0.12
0.13,1.15943262403952,0.570468838270931,0.13
0.14,1.13061247142847,0.549692410930201,0.14
0.15,1.10305783328995,0.530038850671476,0.15
0.16,1.07668717894409,0.511427653204458,0.16
0.17,1.05142587794379,0.493785484773444,0.17
0.18,1.02720548273085,0.477045419742136,0.18
0.19,1.00396309907686,0.461146272333192,0.19
0.2,0.981640832021015,0.446032009298163,0.2
0.21,0.960185296944261,0.43165123237019,0.21
0.22,0.939547187013402,0.417956721069023,0.22
0.23,0.919680889551575,0.404905027853419,0.23
0.24,0.900544144994455,0.392456118803729,0.24
0.25,0.882097743013649,0.380573054010806,0.25
0.26,0.86430525116279,0.36922170268094,0.26
0.27,0.847132772053656,0.358370488668392,0.27
0.28,0.830548725620274,0.347990162739989,0.28
0.29,0.814523653495678,0.338053598378576,0.29
0.3,0.799030042922616,0.32853560835908,0.3
0.31,0.784042167957691,0.319412779694826,0.31
0.32,0.76953594601743,0.310663324862701,0.32
0.33,0.75548880806261,0.302266947482336,0.33
0.34,0.741879580930025,0.294204720853403,0.34
0.35,0.728688380504389,0.286458977952391,0.35
0.36,0.715896514581449,0.279013211660485,0.36
0.37,0.703486394410593,0.271851984141575,0.37
0.38,0.691441454024162,0.264960844417208,0.38
0.39,0.679746076564233,0.258326253296471,0.39
0.4,0.668385526907764,0.251935514915524,0.4
0.41,0.657345889969753,0.245776714226066,0.41
0.42,0.646614014132979,0.239838659845869,0.42
0.43,0.636177459313285,0.234110831749318,0.43
0.44,0.626024449222433,0.228583333332737,0.44
0.45,0.616143827437267,0.223246847439318,0.45
0.46,0.606525016925071,0.218092595972518,0.46
0.47,0.597157982711385,0.213112302765722,0.47
0.48,0.588033197408675,0.208298159410338,0.48
0.49,0.579141609352794,0.20364279377495,0.49
0.5,0.570474613119423,0.199139240975198,0.5
0.51,0.562024022215183,0.194780916577999,0.51
0.52,0.553782043758136,0.190561591845143,0.52
0.53,0.545741254980216,0.186475370840245,0.53
0.54,0.537894581400086,0.182516669240068,0.54
0.55,0.530235276529148,0.17868019470636,0.55
0.56,0.522756902986207,0.174960928687911,0.56
0.57,0.515453314907719,0.171354109534726,0.57
0.58,0.508318641550815,0.167855216817049,0.58
0.59,0.501347271995545,0.164459956751829,0.59
0.6,0.494533840861073,0.161164248647955,0.6
0.61,0.487873214958044,0.157964212289579,0.61
0.62,0.481360480806114,0.154856156183914,0.62
0.63,0.474990932951714,0.15183656660641,0.63
0.64,0.468760063026659,0.148902097381969,0.64
0.65,0.462663549493178,0.146049560346174,0.65
0.66,0.456697248025505,0.143275916435233,0.66
0.67,0.450857182482242,0.140578267357682,0.67
0.68,0.445139536427469,0.137953847804795,0.68
0.69,0.439540645161932,0.135400018160207,0.69
0.7,0.434056988228763,0.132914257672485,0.7
0.71,0.428685182360966,0.130494158057339,0.71
0.72,0.423421974840484,0.128137417498805,0.72
0.73,0.418264237241009,0.125841835021221,0.73
0.74,0.413208959528802,0.123605305205987,0.74
0.75,0.408253244497789,0.121425813229194,0.75
0.76,0.403394302516944,0.119301430197994,0.76
0.77,0.398629446569654,0.117230308765345,0.77
0.78,0.393956087566209,0.115210679004273,0.78
0.79,0.389371729911996,0.113240844524243,0.79
0.8,0.384873967315195,0.111319178813519,0.8
0.81,0.380460478818958,0.1094441217926,0.81
0.82,0.376129025044136,0.107614176564914,0.82
0.83,0.37187744462956,0.105827906351961,0.83
0.84,0.367703650857848,0.104083931601027,0.84
0.85,0.363605628455486,0.102380927254438,0.85
0.86,0.359581430556758,0.100717620170126,0.86
0.87,0.355629175821761,0.0990927866839724,0.87
0.88,0.351747045699443,0.097505250305107,0.88
0.89,0.347933281827178,0.0959538795359053,0.89
0.9,0.344186183558976,0.0944375858090428,0.9
0.91,0.34050410561493,0.0929553215344588,0.91
0.92,0.336885455845003,0.0915060782495827,0.92
0.93,0.333328693100687,0.0900888848666207,0.93
0.94,0.329832325208489,0.0887028060111185,0.94
0.95,0.326394907039598,0.0873469404463975,0.95
0.96,0.323015038670411,0.086020419578824,0.96
0.97,0.319691363628961,0.0847224060391963,0.97
0.98,0.31642256722259,0.0834520923358452,0.98
0.99,0.313207374942483,0.0822086995753274,0.99
1,0.310044550940966,0.0809914762468536,1
1.01,0.306932896577707,0.0797996970668445,1.01
1.02,0.303871249031212,0.0786326618802278,1.02
1.03,0.30085847997218,0.0774896946153123,1.03
1.04,0.297893494295547,0.0763701422892632,1.04
1.05,0.294975228908177,0.0752733740613939,1.05
1.06,0.292102651569378,0.0741987803316572,1.06
1.07,0.289274759781563,0.0731457718818828,1.07
1.08,0.286490579728526,0.0721137790574502,1.08
1.09,0.283749165258982,0.0711022509872345,1.09
1.1,0.281049596913098,0.0701106548397843,1.1
1.11,0.278390980989935,0.0691384751138173,1.11
1.12,0.275772448653771,0.0681852129612306,1.12
1.13,0.273193155077442,0.067250385540928,1.13
1.14,0.270652278620919,0.0663335254018683,1.14
1.15,0.26814902004342,0.0654341798938277,1.15
1.16,0.265682601747486,0.0645519106044599,1.16
1.17,0.263252267053502,0.0636862928213148,1.17
1.18,0.26085727950324,0.0628369150175569,1.18
1.19,0.258496922191078,0.0620033783601927,1.19
1.2,0.256170497121617,0.061185296239684,1.2
1.21,0.253877324592478,0.0603822938198879,1.21
1.22,0.251616742601143,0.059594007607322,1.22
1.23,0.249388106274743,0.0588200850388087,1.23
1.24,0.247190787321764,0.0580601840866042,1.24
1.25,0.245024173504699,0.057313972880168,1.25
1.26,0.242887668132698,0.0565811293437712,1.26
1.27,0.240780689573361,0.05586134084919,1.27
1.28,0.238702670782807,0.0551543038827647,1.28
1.29,0.236653058853248,0.0544597237261503,1.29
1.3,0.234631314577295,0.0537773141501131,1.3
1.31,0.23263691202828,0.0531067971207669,1.31
1.32,0.230669338155921,0.0524479025176719,1.32
1.33,0.22872809239666,0.0518003678632494,1.33
1.34,0.226812686298066,0.0511639380629945,1.34
1.35,0.224922643156721,0.0505383651559939,1.35
1.36,0.223057497669004,0.0499234080752842,1.36
1.37,0.221216795594266,0.0493188324176059,1.37
1.38,0.219400093429866,0.0487244102221333,1.38
1.39,0.217606958097585,0.048139919757781,1.39
1.4,0.215836966640971,0.0475651453187075,1.4
1.41,0.214089705933151,0.046999877027655,1.41
1.42,0.212364772394704,0.0464439106467824,1.42
1.43,0.210661771721185,0.0458970473956663,1.43
1.44,0.208980318619926,0.0453590937761588,1.44
1.45,0.20732003655573,0.0448298614038079,1.45
1.46,0.205680557505133,0.0443091668455597,1.46
1.47,0.204061521718871,0.0437968314634739,1.47
1.48,0.202462577492265,0.0432926812642004,1.48
1.49,0.200883380943184,0.0427965467539717,1.49
1.5,0.199323595797326,0.0423082627988824,1.5
1.51,0.197782893180515,0.0418276684902349,1.51
1.52,0.196260951417761,0.0413546070147407,1.52
1.53,0.194757455838818,0.0408889255293789,1.53
1.54,0.193272098590006,0.0404304750407191,1.54
1.55,0.191804578452053,0.0399791102885284,1.55
1.56,0.190354600663736,0.0395346896334881,1.56
1.57,0.188921876751117,0.0390970749488534,1.57
1.58,0.187506124362149,0.0386661315158997,1.58
1.59,0.186107067106468,0.0382417279230031,1.59
1.6,0.184724434400189,0.0378237359682109,1.6
1.61,0.183357961315505,0.0374120305651639,1.61
1.62,0.182007388434931,0.0370064896522399,1.62
1.63,0.180672461710025,0.036606994104791,1.63
1.64,0.179352932324422,0.0362134276503551,1.64
1.65,0.178048556561033,0.0358256767867262,1.65
1.66,0.17675909567325,0.0354436307027734,1.66
1.67,0.175484315760042,0.0350671812019028,1.67
1.68,0.174223987644773,0.0346962226280621,1.68
1.69,0.17297788675764,0.0343306517941915,1.69
1.7,0.171745793021592,0.033970367913027,1.7
1.71,0.170527490741615,0.0336152725301697,1.71
1.72,0.169322768497262,0.0332652694593349,1.72
1.73,0.168131419038331,0.0329202647197002,1.73
1.74,0.16695323918356,0.032580166475275,1.74
1.75,0.165788029722272,0.0322448849762168,1.75
1.76,0.164635595318833,0.031914332502023,1.76
1.77,0.163495744419858,0.0315884233065285,1.77
1.78,0.16236828916406,0.0312670735646459,1.78
1.79,0.161253045294657,0.0309502013207825,1.79
1.8,0.160149832074255,0.0306377264388754,1.8
1.81,0.15905847220212,0.0303295705539864,1.81
1.82,0.157978791733772,0.0300256570254008,1.82
1.83,0.15691062000281,0.0297259108911766,1.83
1.84,0.155853789544913,0.0294302588240929,1.84
1.85,0.154808136023932,0.0291386290889487,1.85
1.86,0.153773498160016,0.028850951501164,1.86
1.87,0.152749717659705,0.0285671573866386,1.87
1.88,0.15173663914792,0.0282871795428237,1.88
1.89,0.150734110101806,0.0280109522009662,1.89
1.9,0.14974198078635,0.0277384109894836,1.9
1.91,0.148760104191736,0.0274694928984319,1.91
1.92,0.147788335972373,0.0272041362450281,1.92
1.93,0.146826534387544,0.0269422806401931,1.93
1.94,0.145874560243631,0.0266838669560789,1.94
1.95,0.144932276837866,0.026428837294548,1.95
1.96,0.143999549903557,0.0261771349565725,1.96
1.97,0.143076247556749,0.0259287044125222,1.97
1.98,0.142162240244276,0.0256834912733132,1.98
1.99,0.141257400693153,0.0254414422623868,1.99
2,0.14036160386129,0.0252025051884925,2
